S.no,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
1,India,"305,951","+7,668","8,718",+217,"152,395","+5,423","144,838","8,944",222,6,"5,363,445","3,889","1,379,270,740",Asia,"4,508","158,210",257
2,Iran,"182,525","+2,369","8,659",+75,"144,649","+1,986","29,217","2,739","2,175",103,"1,196,947","14,261","83,933,136",Asia,460,"9,693",70
3,Turkey,"174,023",,"4,763",,"147,860",,"21,400",643,"2,065",57,"2,500,890","29,670","84,289,552",Asia,484,"17,697",34
4,Pakistan,"125,933","+6,397","2,463",+107,"40,247","+1,856","83,223",111,571,11,"809,169","3,667","220,638,507",Asia,"1,752","89,581",273
5,Saudi Arabia,"119,942","+3,921",893,+36,"81,029","+1,010","38,020","1,820","3,448",26,"1,042,312","29,966","34,782,906",Asia,290,"38,951",33
6,Bangladesh,"81,523","+3,471","1,095",+46,"17,249",+502,"63,179",1,495,7,"473,322","2,876","164,600,549",Asia,"2,019","150,320",348
7,Qatar,"76,588","+1,517",70,+1,"53,296","+1,965","23,222",229,"27,277",25,"280,665","99,959","2,807,805",Asia,37,"40,112",10
8,UAE,"41,499",+513,287,+1,"25,946",+712,"15,266",1,"4,199",29,"2,626,000","265,687","9,883,799",Asia,238,"34,438",4
9,Singapore,"39,850",+463,25,,"28,040",+754,"11,785",2,"6,814",4,"488,695","83,568","5,847,901",Asia,147,"233,916",12
10,Indonesia,"36,406","+1,111","2,048",+48,"13,213",+577,"21,145",,133,7,"478,953","1,752","273,366,090",Asia,"7,509","133,480",571
11,Kuwait,"34,952",+520,285,+6,"25,048",+911,"9,619",172,"8,191",67,"330,129","77,368","4,266,990",Asia,122,"14,972",13
12,Philippines,"24,787",+612,"1,052",+16,"5,454",+289,"18,281",82,226,10,"483,544","4,416","109,499,539",Asia,"4,418","104,087",226
13,Afghanistan,"23,546",+656,446,+20,"3,928",+602,"19,172",19,606,11,"53,705","1,381","38,874,978",Asia,"1,651","87,164",724
14,Oman,"21,071","+1,117",96,+7,"7,489",+866,"13,486",92,"4,133",19,"133,029","26,092","5,098,511",Asia,242,"53,109",38
15,Israel,"18,701",+132,300,,"15,288",+38,"3,113",34,"2,033",33,"727,853","79,135","9,197,590",Asia,492,"30,659",13
16,Iraq,"17,770","+1,095",496,+39,"6,868",+300,"10,406",111,442,12,"349,625","8,704","40,167,590",Asia,"2,260","80,983",115
17,Japan,"17,292",,920,,"15,383",,989,88,137,7,"328,730","2,599","126,494,838",Asia,"7,315","137,494",385
18,Bahrain,"17,269",+602,36,+2,"11,903",+416,"5,330",10,"10,173",21,"403,036","237,420","1,697,568",Asia,98,"47,155",4
19,Armenia,"15,281",+612,258,+13,"5,639",+173,"9,384",10,"5,157",87,"77,686","26,219","2,962,966",Asia,194,"11,484",38
20,Kazakhstan,"13,872",+314,68,+1,"8,668",+75,"5,136",77,739,4,"1,050,098","55,963","18,764,311",Asia,"1,353","275,946",18
21,S. Korea,"12,003",+56,277,+1,"10,669",+15,"1,057",15,234,5,"1,081,487","21,095","51,267,003",Asia,"4,271","185,079",47
22,Azerbaijan,"9,218",+336,113,+5,"5,116",+186,"3,989",66,910,11,"362,654","35,785","10,134,274",Asia,"1,099","89,684",28
23,Malaysia,"8,402",+33,119,+1,"7,168",+103,"1,115",4,260,4,"618,360","19,119","32,342,925",Asia,"3,849","271,789",52
24,Nepal,"5,062",+448,16,+1,877,+16,"4,169",,174,0.5,"309,914","10,648","29,106,200",Asia,"5,750","1,819,138",94
25,Tajikistan,"4,902",+68,49,,"3,158",+96,"1,695",,515,5,,,"9,524,612",Asia,"1,943","194,380",
