S.no,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
1,Russia,"511,423","+8,987","6,715",+183,"269,370","+8,220","235,338","2,300","3,505",46,"14,218,674","97,434","145,931,382",Europe,285,"21,732",10
2,UK,"292,950","+1,541","41,481",+202,N/A,N/A,N/A,492,"4,316",611,"6,434,713","94,813","67,867,577",Europe,232,"1,636",11
3,Spain,"290,289",+502,"27,136",,N/A,N/A,N/A,617,"6,209",580,"4,465,338","95,507","46,753,887",Europe,161,"1,723",10
4,Italy,"236,142",,"34,167",,"171,338",,"30,637",236,"3,905",565,"4,443,821","73,493","60,466,117",Europe,256,"1,770",14
5,Germany,"186,933",+138,"8,853",+2,"171,600",+400,"6,480",462,"2,231",106,"4,694,147","56,036","83,770,376",Europe,448,"9,462",18
6,France,"155,561",,"29,346",,"72,149",,"54,066",903,"2,383",450,"1,384,633","21,215","65,266,270",Europe,420,"2,224",47
7,Belgium,"59,819",+108,"9,646",+10,"16,498",+45,"33,675",89,"5,163",832,"996,785","86,026","11,587,039",Europe,194,"1,201",12
8,Belarus,"52,520",+704,298,+5,"27,760","+1,117","24,462",92,"5,558",32,"697,011","73,762","9,449,475",Europe,180,"31,710",14
9,Sweden,"49,684",+205,"4,854",+40,N/A,N/A,N/A,272,"4,921",481,"325,000","32,191","10,095,978",Europe,203,"2,080",31
10,Netherlands,"48,461",+210,"6,053",+9,N/A,N/A,N/A,77,"2,829",353,"455,067","26,561","17,132,971",Europe,354,"2,830",38
11,Portugal,"36,180",+270,"1,505",+1,"22,200",+198,"12,475",73,"3,548",148,"954,069","93,553","10,198,122",Europe,282,"6,776",11
12,Switzerland,"31,063",+19,"1,938",+1,"28,800",,325,18,"3,591",224,"447,617","51,740","8,651,283",Europe,279,"4,464",19
13,Ukraine,"29,753",+683,870,+16,"13,567",+426,"15,316",306,680,20,"468,172","10,702","43,745,847",Europe,"1,470","50,283",93
14,Poland,"28,577",+376,"1,222",+7,"13,805",+109,"13,550",77,755,32,"1,150,983","30,410","37,848,619",Europe,"1,324","30,973",33
15,Ireland,"25,238",,"1,703",,"22,698",,837,28,"5,114",345,"367,780","74,528","4,934,765",Europe,196,"2,898",13
16,Romania,"21,404",+222,"1,380",+11,"15,445",+162,"4,579",171,"1,112",72,"542,646","28,199","19,243,552",Europe,899,"13,945",35
17,Austria,"17,064",+30,675,+1,"15,985",+36,404,9,"1,895",75,"516,581","57,374","9,003,730",Europe,528,"13,339",17
18,Serbia,"12,175",+73,252,,"11,348",,575,14,"1,393",29,"297,789","34,076","8,739,024",Europe,718,"34,679",29
19,Denmark,"12,099",+64,594,+1,"10,993",+38,512,14,"2,089",103,"771,881","133,286","5,791,166",Europe,479,"9,749",8
20,Moldova,"11,093",+366,385,+10,"6,229",+157,"4,479",344,"2,750",95,"63,328","15,697","4,034,411",Europe,364,"10,479",64
21,Czechia,"9,887",+32,329,+1,"7,170",+4,"2,388",14,923,31,"491,193","45,872","10,707,989",Europe,"1,083","32,547",22
22,Norway,"8,613",+5,242,,"8,138",,233,5,"1,589",45,"277,253","51,163","5,418,993",Europe,629,"22,393",20
23,Finland,"7,073",+9,325,,"6,200",,548,3,"1,277",59,"214,800","38,771","5,540,291",Europe,783,"17,047",26
24,Luxembourg,"4,055",+3,110,,"3,918",+8,27,1,"6,484",176,"101,877","162,901","625,393",Europe,154,"5,685",6
25,Hungary,"4,053",+14,555,+2,"2,447",+56,"1,051",20,419,57,"226,669","23,461","9,661,522",Europe,"2,384","17,408",43
26,North Macedonia,"3,701",+163,171,+2,"1,694",+12,"1,836",34,"1,776",82,"41,049","19,703","2,083,378",Europe,563,"12,183",51
27,Greece,"3,108",+20,183,,"1,374",,"1,551",14,298,18,"243,867","23,392","10,425,424",Europe,"3,354","56,970",43
28,Bulgaria,"3,086",,168,,"1,688",,"1,230",15,444,24,"98,460","14,165","6,950,812",Europe,"2,252","41,374",71
29,Bosnia and Herzegovina,"2,893",+61,163,+2,"2,119",+19,611,4,882,50,"75,171","22,906","3,281,756",Europe,"1,134","20,133",44
30,Croatia,"2,249",,107,+1,"2,133",+1,9,,548,26,"69,721","16,978","4,106,429",Europe,"1,826","38,378",59
31,Estonia,"1,970",+5,69,,"1,703",+6,198,,"1,485",52,"94,715","71,403","1,326,491",Europe,673,"19,225",14
