S.no,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
1,USA,"2,095,617","+5,916","116,194",+160,"817,534","+1,448","1,161,889","16,830","6,333",351,"23,179,341","70,049","330,901,704",North America,158,"2,848",14
2,Mexico,"133,974","+4,790","15,944",+587,"98,064","+4,134","19,966",378,"1,040",124,"369,362","2,866","128,859,025",North America,962,"8,082",349
3,Canada,"97,712",+182,"8,005",+11,"57,960",+302,"31,747","1,878","2,590",212,"2,028,496","53,771","37,724,444",North America,386,"4,713",19
4,Dominican Republic,"22,008",+571,568,+7,"12,754",+213,"8,686",110,"2,030",52,"100,035","9,227","10,842,017",North America,493,"19,088",108
5,Panama,"18,586",,418,,"10,977",,"7,191",96,"4,311",97,"82,774","19,201","4,310,882",North America,232,"10,313",52
6,Guatemala,"8,561",+340,334,+18,"1,567",+63,"6,660",5,478,19,"31,427","1,756","17,896,120",North America,"2,090","53,581",569
7,Honduras,"7,669",+309,294,+4,837,+28,"6,538",13,775,30,"21,540","2,177","9,895,582",North America,"1,290","33,658",459
8,Haiti,"3,941",+145,64,+6,24,,"3,853",,346,6,"8,081",709,"11,394,839",North America,"2,891","178,044","1,410"
9,El Salvador,"3,481",+108,68,+4,"1,587",+90,"1,826",128,537,10,"118,483","18,272","6,484,517",North America,"1,863","95,361",55
10,Cuba,"2,233",+14,84,,"1,902",+9,247,4,197,7,"129,132","11,400","11,326,953",North America,"5,073","134,845",88
11,Costa Rica,"1,538",,12,,722,,804,3,302,2,"30,779","6,045","5,091,620",North America,"3,311","424,302",165
12,Nicaragua,"1,464",,55,,953,,456,,221,8,,,"6,620,207",North America,"4,522","120,367",
13,Jamaica,611,+6,10,,408,+1,193,2,206,3,"15,153","5,118","2,960,505",North America,"4,845","296,051",195
14,Martinique,202,,14,,98,,90,,538,37,,,"375,279",North America,"1,858","26,806",
15,Cayman Islands,186,,1,,112,,73,,"2,832",15,"16,628","253,171","65,679",North America,353,"65,679",4
16,Guadeloupe,164,,14,,144,,6,1,410,35,"4,975","12,434","400,121",North America,"2,440","28,580",80
17,Bermuda,141,,9,,127,,5,2,"2,264",144,"8,430","135,337","62,289",North America,442,"6,921",7
18,Trinidad and Tobago,117,,8,,109,,0,,84,6,"3,493","2,496","1,399,258",North America,"11,959","174,907",401
19,Bahamas,103,,11,,68,,24,1,262,28,"2,252","5,730","393,041",North America,"3,816","35,731",175
20,Aruba,101,,3,,98,,0,,946,28,"2,199","20,601","106,743",North America,"1,057","35,581",49
21,Barbados,96,,7,,83,,6,1,334,24,"6,321","21,997","287,358",North America,"2,993","41,051",45
22,Sint Maarten,77,,15,,61,,1,1,"1,797",350,471,"10,992","42,849",North America,556,"2,857",91
23,Saint Martin,41,,3,,33,,5,1,"1,061",78,614,"15,895","38,628",North America,942,"12,876",63
24,St. Vincent Grenadines,27,,,,25,,2,,243,,643,"5,797","110,922",North America,"4,108",,173
25,Antigua and Barbuda,26,,3,,20,,3,1,266,31,489,"4,996","97,886",North America,"3,765","32,629",200
26,Grenada,23,,,,22,,1,1,204,,"4,130","36,712","112,496",North America,"4,891",,27
27,Curaçao,22,,1,,15,,6,,134,6,"1,080","6,583","164,059",North America,"7,457","164,059",152
28,Belize,20,,2,,16,,2,,50,5,"1,776","4,471","397,206",North America,"19,860","198,603",224
29,Saint Lucia,19,,,,18,,1,,103,,"1,264","6,885","183,584",North America,"9,662",,145
30,Dominica,18,,,,16,,2,,250,,534,"7,419","71,977",North America,"3,999",,135
31,Saint Kitts and Nevis,15,,,,15,,0,,282,,417,"7,841","53,179",North America,"3,545",,128
32,Greenland,13,,,,13,,0,,229,,"2,511","44,235","56,765",North America,"4,367",,23
33,Turks and Caicos,12,,1,,11,,0,,310,26,192,"4,963","38,688",North America,"3,224","38,688",202
34,Montserrat,11,,1,,10,,0,,"2,204",200,61,"12,220","4,992",North America,454,"4,992",82
35,British Virgin Islands,8,,1,,7,,0,,265,33,212,"7,015","30,220",North America,"3,778","30,220",143
36,Caribbean Netherlands,7,,,,7,,0,,267,,424,"16,177","26,210",North America,"3,744",,62
37,St. Barth,6,,,,6,,0,,608,,152,"15,392","9,875",North America,"1,646",,65
38,Anguilla,3,,,,3,,0,,200,,41,"2,734","14,996",North America,"4,999",,366
39,Saint Pierre Miquelon,1,,,,1,,0,,173,,,,"5,795",North America,"5,795",,
