Rank,Movie Title,Cast,Release Year,IMDb Rating,Total Votes
1,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1994,9.2,"2,244,045"
2,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",1972,9.1,"1,548,081"
3,The Godfather: Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",1974,9.0,"1,082,241"
4,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",2008,9.0,"2,212,866"
5,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",1957,8.9,"656,660"
6,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",1993,8.9,"1,166,501"
7,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",2003,8.9,"1,585,928"
8,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",1994,8.8,"1,757,668"
9,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",1966,8.8,"662,860"
10,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2001,8.8,"1,599,403"
11,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",1999,8.8,"1,785,113"
12,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",1994,8.8,"1,730,470"
13,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",2010,8.7,"1,967,028"
14,Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",1980,8.7,"1,119,404"
15,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2002,8.7,"1,432,786"
16,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",1999,8.6,"1,610,158"
17,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",1990,8.6,"976,230"
18,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",1975,8.6,"880,358"
19,Shichinin no samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",1954,8.6,"303,189"
20,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",1995,8.6,"1,381,343"
21,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",1997,8.6,"596,688"
